name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Don't Be Cruel,Elvis Presley,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,4
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4
Smoke Gets In Your Eyes,The Platters,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,0.224,114.278,157293,4
"What'd I Say, Pt. 1 & 2",Ray Charles,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,307053,4
Dream A Little Dream Of Me,Ella Fitzgerald,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,0.404,76.118,185067,4
That'll Be The Day,Buddy Holly,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,4
Blueberry Hill,Fats Domino,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880,3
Beyond the Sea,Bobby Darin,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4
All I Have to Do Is Dream,The Everly Brothers,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,0.596,103.709,141240,4
All Shook Up,Elvis Presley,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080,4
That's Amore,Dean Martin,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,0.577,124.047,188267,4
I Can't Stop Loving You,Ray Charles,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,3
Mack the Knife,Bobby Darin,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,184333,4
True Love Ways,Buddy Holly,0.221,0.124,10,-19.545,1,0.0346,0.8,0.103,0.316,0.276,82.727,168707,4
Great Balls Of Fire,Jerry Lee Lewis,0.468,0.527,7,-13.897,0,0.0683,0.554,0.0,0.061,0.855,159.501,116467,4
Summertime Blues,Eddie Cochran,0.717,0.883,9,-8.686,0,0.0608,0.125,0.167,0.176,0.942,156.299,119360,4
Smile,Nat King Cole,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,0.263,79.37,173267,5
Johnny B. Goode,Chuck Berry,0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,0.969,168.195,161560,4
